#原始坐标X 	原始坐标Y 
601.877700 	516.770000 	
198.503900 	640.152100 	
656.757400 	868.950900 	
698.357100 	600.118400 	
459.680400 	999.669400 	
157.659200 	129.176300 	
421.785800 	293.370600 	
596.054400 	476.879400 	
322.331500 	129.582400 	
830.728800 	228.123500 	
122.685000 	181.072000 	
251.180700 	672.015600 	
937.607500 	325.784800 	
655.208200 	790.587500 	
752.910900 	546.013900 	
810.858500 	230.556600 	
48.426700 	686.762500 	
414.709100 	49.082600 	
725.489100 	572.598500 	
139.044000 	993.762300 	
632.557300 	362.969000 	
246.833500 	558.720700 	
839.972300 	927.280400 	
836.670800 	259.876500 	
453.072400 	832.475000 	
394.758700 	175.125900 	
961.595300 	879.842200 	
8.178300 	279.632800 	
398.438700 	849.476000 	
487.772300 	806.716000 	
618.136800 	189.125200 	
70.010000 	978.559000 	
142.687900 	253.727700 	
654.226600 	778.546100 	
218.319600 	810.784500 	
119.131900 	497.952900 	
43.137100 	915.723200 	
165.558200 	100.983500 	
511.105900 	135.824600 	
867.268000 	858.316800
766.260700 	18.646500 
134.950900 	728.328000
64.920700 	816.657900
672.445000 	116.220400
482.206900 	488.556400
495.417900 	347.448400
313.483700 	773.891000
323.501000 	285.286700
909.101300 	824.396700
450.336600 	173.061100
748.635800 	863.643500
185.253300 	926.054800
84.922000 	191.103700
207.029200 	50.352500 
558.915700 	548.449500
661.700400 	9.517900 	
939.213200 	828.363700
40.245400 	908.544400
163.658500 	705.296700
438.123300 	243.330300
325.667600 	589.231600
89.932400 	938.900000
810.319600 	895.502000
399.559000 	606.226200
655.314300 	792.378300
566.843500 	836.167500
3.121900 	560.141100 	
651.351500 	0.695100 	
317.097300 	251.275100
265.933800 	431.948600
460.448200 	430.652900
623.160900 	875.233000
801.853400 	67.640900 
561.164100 	339.906800
24.804100 	177.062100
793.540400 	246.035200
273.088800 	727.819500
822.911300 	288.204900
688.554800 	237.341700
603.902500 	139.659000
386.950100 	220.730300
65.535300 	817.546700
998.593400 	378.229100
661.043900 	665.515200
229.172300 	935.813300
92.254600 	426.481100
240.978700 	605.160000
902.569700 	969.584400
217.348000 	364.651000
479.522800 	664.447600
909.228300 	314.755100
193.782400 	885.715800
447.987600 	295.544700
617.800100 	295.366100
594.213000 	907.082100
665.877200 	492.884600
267.680200 	207.139700
423.867200 	25.819200 
799.323800 	170.208900
932.312800 	302.340500
469.719100 	961.439600
306.303400 	783.657400
439.371800 	673.256500
306.860000 	840.722300
275.013000 	420.854300
138.747400 	703.737300
166.547500 	481.286600
493.947400 	820.576000
86.583500 	437.390200
926.838900 	859.973800
148.476200 	8.897200 	
160.479200 	996.031100
717.723600 	275.201100
674.894500 	33.516400 
358.519500 	152.100000
90.457900 	479.596200
8.248000 	888.842300 	
372.779000 	283.419100
788.307100 	784.127000
447.286100 	170.392500
99.624700 	731.293500
805.831100 	246.621800
659.455000 	81.840900 
452.364100 	852.908700
533.362400 	686.552200
526.664700 	958.110600
629.681100 	985.055600
646.564400 	534.722600
191.830700 	905.980400
801.732100 	476.648600
196.571000 	889.671300
411.293600 	23.849800 
235.693400 	128.724800
272.205400 	740.640200
8.668500 	391.020200 	
928.280800 	393.628500
520.219500 	601.848300
464.125600 	23.885500 
523.529700 	387.671000
336.812100 	56.746100 
332.378900 	689.570600
988.287900 	520.390900
473.716900 	76.086500 
746.860900 	406.259700
669.958800 	430.212900
795.592000 	659.312300
272.543400 	218.391200
283.915100 	81.088700 
717.255700 	467.671700
184.637100 	728.671700
833.703400 	613.983800
169.665000 	900.597700
953.265700 	252.779400
722.548000 	220.095300
134.248400 	235.805000
853.092500 	810.129500
931.692700 	702.409100
564.184700 	878.504900
398.823300 	711.011200
441.602500 	661.080200
701.680700 	439.577400
260.043000 	562.793600
28.529500 	990.311300
947.965200 	957.315400
996.169000 	336.818300
779.483300 	155.455800
989.401400 	417.079100
487.553000 	554.477000
127.982700 	29.752100 
464.367300 	866.706300
742.590500 	894.414200
673.391600 	497.190400
873.979500 	209.287000
758.250400 	721.597100
617.175200 	699.716100
274.817200 	460.747200
336.378300 	170.593000
835.723500 	794.371400
385.886400 	888.499600
80.346600 	142.514500
865.584400 	939.671600
435.374100 	0.260900 	
172.080900 	438.805000
4.296400 	11.167800 	
652.496800 	234.515500
369.689600 	706.984200
376.099200 	694.164400
441.342500 	265.120800
516.123800 	326.573600
300.114600 	93.233900 
478.321800 	41.599400 
6.246900 	759.280200 	
171.435900 	324.874500
303.557400 	521.821800
744.464600 	951.887900
580.893300 	668.978400
701.207200 	473.121600
804.664400 	649.372200
851.985200 	665.635900
117.721000 	230.147400
657.263700 	804.889700
752.951500 	502.785000
702.128800 	434.029700
605.118500 	709.033600
38.266600 	555.264000
195.150100 	255.003800
330.681700 	75.200600 
642.833400 	589.102400
217.403900 	674.242100
76.909800 	588.013400
980.589400 	533.702300
206.759000 	472.616400
983.253300 	323.811200
610.371000 	430.986100
247.978600 	764.897800
517.957900 	996.462700
712.831100 	265.018300
259.869000 	792.067000
114.686000 	134.609300
549.669500 	35.536100 
218.901800 	453.946500
312.175600 	562.977100
973.133100 	230.882800
309.190500 	144.762400
946.247500 	677.095800
410.561900 	354.070500
10.333600 	510.472300
310.069000 	694.706700
155.206800 	595.292900
994.082500 	506.110800
450.239200 	776.399300
545.218300 	685.202700
262.331800 	319.493600
882.541200 	832.142900
103.061100 	660.821600
823.562700 	587.068200
427.175700 	19.078400 
920.344700 	836.950000
528.012200 	113.997900
870.834600 	840.420400
