#Num 	原始坐标X 	原始坐标Y 
61 	601.877700 	516.770000 	
62 	198.503900 	640.152100 	
63 	656.757400 	868.950900 	
64 	698.357100 	600.118400 	
65 	459.680400 	999.669400 	
66 	157.659200 	129.176300 	
67 	421.785800 	293.370600 	
68 	596.054400 	476.879400 	
69 	322.331500 	129.582400 	
70 	830.728800 	228.123500 	
71 	122.685000 	181.072000 	
72 	251.180700 	672.015600 	
73 	937.607500 	325.784800 	
74 	655.208200 	790.587500 	
75 	752.910900 	546.013900 	
76 	810.858500 	230.556600 	
77 	48.426700 	686.762500 	
78 	414.709100 	49.082600 	
79 	725.489100 	572.598500 	
80 	139.044000 	993.762300 	
81 	632.557300 	362.969000 	
82 	246.833500 	558.720700 	
83 	839.972300 	927.280400 	
84 	836.670800 	259.876500 	
85 	453.072400 	832.475000 	
86 	394.758700 	175.125900 	
87 	961.595300 	879.842200 	
88 	8.178300 	279.632800
89 	398.438700 	849.476000 	
90 	487.772300 	806.716000 	
91 	618.136800 	189.125200 	
92 	70.010000 	978.559000 	
93 	142.687900 	253.727700 	
94 	654.226600 	778.546100 	
95 	218.319600 	810.784500 	
96 	119.131900 	497.952900 	
97 	43.137100 	915.723200 	
98 	165.558200 	100.983500 	
99 	511.105900 	135.824600 	
100 	867.268000 	858.316800
101 	766.260700 	18.646500 
102 	134.950900 	728.328000
103 	64.920700 	816.657900
104 	672.445000 	116.220400
105 	482.206900 	488.556400
106 	495.417900 	347.448400
107 	313.483700 	773.891000
108 	323.501000 	285.286700
109 	909.101300 	824.396700
110 	450.336600 	173.061100
111 	748.635800 	863.643500
112 	185.253300 	926.054800
113 	84.922000 	191.103700
114 	207.029200 	50.352500 
115 	558.915700 	548.449500
116 	661.700400 	9.517900 	
117 	939.213200 	828.363700
118 	40.245400 	908.544400
119 	163.658500 	705.296700
120 	438.123300 	243.330300
121 	325.667600 	589.231600
122 	89.932400 	938.900000
123 	810.319600 	895.502000
124 	399.559000 	606.226200
125 	655.314300 	792.378300
126 	566.843500 	836.167500
127 	3.121900 	560.141100 	
128 	651.351500 	0.695100 	
129 	317.097300 	251.275100
130 	265.933800 	431.948600
131 	460.448200 	430.652900
132 	623.160900 	875.233000
133 	801.853400 	67.640900 
134 	561.164100 	339.906800
135 	24.804100 	177.062100
136 	793.540400 	246.035200
137 	273.088800 	727.819500
138 	822.911300 	288.204900
139 	688.554800 	237.341700
140 	603.902500 	139.659000
141 	386.950100 	220.730300
142 	65.535300 	817.546700
143 	998.593400 	378.229100
144 	661.043900 	665.515200
145 	229.172300 	935.813300
146 	92.254600 	426.481100
147 	240.978700 	605.160000
148 	902.569700 	969.584400
149 	217.348000 	364.651000
150 	479.522800 	664.447600
151 	909.228300 	314.755100
152 	193.782400 	885.715800
153 	447.987600 	295.544700
154 	617.800100 	295.366100
155 	594.213000 	907.082100
156 	665.877200 	492.884600
157 	267.680200 	207.139700
158 	423.867200 	25.819200 
159 	799.323800 	170.208900
160 	932.312800 	302.340500
161 	469.719100 	961.439600
162 	306.303400 	783.657400
163 	439.371800 	673.256500
164 	306.860000 	840.722300
165 	275.013000 	420.854300
166 	138.747400 	703.737300
167 	166.547500 	481.286600
168 	493.947400 	820.576000
169 	86.583500 	437.390200
170 	926.838900 	859.973800
171 	148.476200 	8.897200 	
172 	160.479200 	996.031100
173 	717.723600 	275.201100
174 	674.894500 	33.516400 
175 	358.519500 	152.100000
176 	90.457900 	479.596200
177 	8.248000 	888.842300 	
178 	372.779000 	283.419100
179 	788.307100 	784.127000
180 	447.286100 	170.392500
181 	99.624700 	731.293500
182 	805.831100 	246.621800
183 	659.455000 	81.840900 
184 	452.364100 	852.908700
185 	533.362400 	686.552200
186 	526.664700 	958.110600
187 	629.681100 	985.055600
188 	646.564400 	534.722600
189 	191.830700 	905.980400
190 	801.732100 	476.648600
191 	196.571000 	889.671300
192 	411.293600 	23.849800 
193 	235.693400 	128.724800
194 	272.205400 	740.640200
195 	8.668500 	391.020200 	
196 	928.280800 	393.628500
197 	520.219500 	601.848300
198 	464.125600 	23.885500 
199 	523.529700 	387.671000
200 	336.812100 	56.746100 
201 	332.378900 	689.570600
202 	988.287900 	520.390900
203 	473.716900 	76.086500 
204 	746.860900 	406.259700
205 	669.958800 	430.212900
206 	795.592000 	659.312300
207 	272.543400 	218.391200
208 	283.915100 	81.088700 
209 	717.255700 	467.671700
210 	184.637100 	728.671700
211 	833.703400 	613.983800
212 	169.665000 	900.597700
213 	953.265700 	252.779400
214 	722.548000 	220.095300
215 	134.248400 	235.805000
216 	853.092500 	810.129500
217 	931.692700 	702.409100
218 	564.184700 	878.504900
219 	398.823300 	711.011200
220 	441.602500 	661.080200
221 	701.680700 	439.577400
222 	260.043000 	562.793600
223 	28.529500 	990.311300
224 	947.965200 	957.315400
225 	996.169000 	336.818300
226 	779.483300 	155.455800
227 	989.401400 	417.079100
228 	487.553000 	554.477000
229 	127.982700 	29.752100 
230 	464.367300 	866.706300
231 	742.590500 	894.414200
232 	673.391600 	497.190400
233 	873.979500 	209.287000
234 	758.250400 	721.597100
235 	617.175200 	699.716100
236 	274.817200 	460.747200
237 	336.378300 	170.593000
238 	835.723500 	794.371400
239 	385.886400 	888.499600
240 	80.346600 	142.514500
241 	865.584400 	939.671600
242 	435.374100 	0.260900 	
243 	172.080900 	438.805000
244 	4.296400 	11.167800 	
245 	652.496800 	234.515500
246 	369.689600 	706.984200
247 	376.099200 	694.164400
248 	441.342500 	265.120800
249 	516.123800 	326.573600
250 	300.114600 	93.233900 
251 	478.321800 	41.599400 
252 	6.246900 	759.280200 	
253 	171.435900 	324.874500
254 	303.557400 	521.821800
255 	744.464600 	951.887900
256 	580.893300 	668.978400
257 	701.207200 	473.121600
258 	804.664400 	649.372200
259 	851.985200 	665.635900
260 	117.721000 	230.147400
261 	657.263700 	804.889700
262 	752.951500 	502.785000
263 	702.128800 	434.029700
264 	605.118500 	709.033600
265 	38.266600 	555.264000
266 	195.150100 	255.003800
267 	330.681700 	75.200600 
268 	642.833400 	589.102400
269 	217.403900 	674.242100
270 	76.909800 	588.013400
271 	980.589400 	533.702300
272 	206.759000 	472.616400
273 	983.253300 	323.811200
274 	610.371000 	430.986100
275 	247.978600 	764.897800
276 	517.957900 	996.462700
277 	712.831100 	265.018300
278 	259.869000 	792.067000
279 	114.686000 	134.609300
280 	549.669500 	35.536100 
281 	218.901800 	453.946500
282 	312.175600 	562.977100
283 	973.133100 	230.882800
284 	309.190500 	144.762400
285 	946.247500 	677.095800
286 	410.561900 	354.070500
287 	10.333600 	510.472300
288 	310.069000 	694.706700
289 	155.206800 	595.292900
290 	994.082500 	506.110800
291 	450.239200 	776.399300
292 	545.218300 	685.202700
293 	262.331800 	319.493600
294 	882.541200 	832.142900
295 	103.061100 	660.821600
296 	823.562700 	587.068200
297 	427.175700 	19.078400 
298 	920.344700 	836.950000
299 	528.012200 	113.997900
300 	870.834600 	840.420400
